name,kana,area,type,business_hours,holiday,budget,phone,address,website,gmap_url,description
OASIS,オアシス,銀座,美熟女クラブ,18:30～23:30,土曜・日曜・祝祭日,"45分 5,000円
                                    
                                                                                    (税込) (税込)",03-6280-6910,東京都中央区銀座8-5-12  第二ウルワシビル 4F,https://www.caba2.net/s/298,https://www.google.com/maps/search/?api=1&query=OASIS+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-12,"「銀座」では考えられない ハイ・コストパフォーマンス！美熟女CLUB オアシス。
銀座の土地柄に相応しい落ち着いた癒しの空間は、まさに大人の遊び場。
花も実もある美熟女たちが、しっとりとあなたの心に寄り添います。
スワロフスキーがちりばめられた豪華な店内と、心地よい女性たちのおもてなしに酔いしれてください。銀座らしい贅沢な夜をご堪能ください。"
BUNNY'S CLUB ZEN TOKYO,バニーズクラブゼントウキョウ,銀座,キャバクラ,18:30～23:30,土曜・日曜・祝祭日,"60分 5,000円
                                    
                                                                                    (税込) (税込)",03-3573-0800,東京都中央区銀座8-3-11  和恒ビル 2F,https://www.caba2.net/s/292,https://www.google.com/maps/search/?api=1&query=BUNNY%27S+CLUB+ZEN+TOKYO+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-3-11,"最高の夜のエンターテイメント空間、 銀座トップクラスのバニーズクラブ。
まるで高級ホテルのようなラグジュアリーな空間。非日常空間の中で、キュートでフレンドリーなバニーガール達と楽しい会話をお楽しみください。銀座トップクラスのバニーズクラブで、華やかな夜をお過ごしいただけます。"
La vie et 銀座,ラヴィエギンザ,銀座,キャバクラ,20:00～1:00,日曜・祝祭日,"60分 6,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6264-5478,東京都中央区銀座8-3-11  和恒ビル4階,https://www.caba2.net/s/6118,https://www.google.com/maps/search/?api=1&query=La+vie+et+%E9%8A%80%E5%BA%A7+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-3-11,"銀座で落ち着いたひと時を過ごすなら「La vie et -ラヴィエ-」
日本屈指の高級店立ち並ぶ歓楽街銀座において、キャストの質と親しみやすいお店の雰囲気で人気のLa vie et 銀座。
お近くにお立ち寄りの際は是非La vie et 銀座が誇るキャスト達と、極上のお時間をお楽しみくださいませ。"
銀座MILANO CLUB,ミラノクラブ,銀座,キャバクラ,20:00～LAST,日曜・祝祭日,"60分 6,600円〜 
                                    
                                                                                    (税込) (税込)",03-3289-5600,東京都中央区銀座8-6-18  銀座カレラ弐番館ビル 4F,https://www.caba2.net/s/1404,https://www.google.com/maps/search/?api=1&query=%E9%8A%80%E5%BA%A7MILANO+CLUB+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-6-18,"〜極上の空間に流れるゆるやかな時間〜【銀座MILANO CLUB】。
ホステスのレベル、接客サービスは有数の繁華街""銀座""のお店の中でも最高クラスのクオリティ。バリエーションに富んだ女性陣と落ち着きある高級感あふれる店内にてお客様に至高のお時間をご提供させて頂きます。"
BUNNY'S CLUB ZEN 銀座8丁目店,バニーズクラブゼンギンザハッチョウメテン,銀座,キャバクラ,18:30～23:30,土曜・日曜・祝祭日,"60分 5,000円〜 
                                    
                                                                                    (税込) (税込)",03-3571-3838,東京都中央区銀座8-5-12  第二ウルワシビル 2F,https://www.caba2.net/s/294,https://www.google.com/maps/search/?api=1&query=BUNNY%27S+CLUB+ZEN+%E9%8A%80%E5%BA%A78%E4%B8%81%E7%9B%AE%E5%BA%97+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-12,"やすらぎも新しい刺激も。 銀座最大級のバニーズクラブ。
銀座で30年余り愛されているバニーズクラブ。
伝統が生み出す、温かで親しみを感じさせるバニーガール達。
それでいて、常に時代の先を行く新しさを感じさせるお店です。
バニーガールがあなたの隣に座って華やかな夜を演出します。
気兼ねなく安心して楽しんで頂ける料金設定も、長年信頼されている理由です。
銀座最大級のバニーズクラブで心ゆくまでお楽しみください。"
club e:Bella,エベラ,銀座,キャバクラ,20:00～LAST,年中無休,"60分 8,800円〜 
                                    
                                                                                    (税込) (税込)",03-6228-5564,東京都中央区銀座7-3-9  Leeビル 5F,https://www.caba2.net/s/6106,https://www.google.com/maps/search/?api=1&query=club+e%3ABella+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-3-9,"優雅モダンな大人の社交場。『club e:Bella』★
銀座の一等地に店舗を構えながらも、リーズナブルにハイクオリティなホステスとお酒をお楽しみいただけると話題の人気店。シックで落ち着きある店内にて大人の時間を過ごしてみてはいかがでしょうか？"
ラウンジ ウルワシ,,銀座,ラウンジ,19:00～23:30,土曜・日曜・祝祭日,"60分 4,500円〜 
                                    
                                                                                    (税込) (税込)",03-3571-4779,東京都中央区銀座8-5-12  第2ウルワシビル 5F,https://www.caba2.net/s/296,https://www.google.com/maps/search/?api=1&query=%E3%83%A9%E3%82%A6%E3%83%B3%E3%82%B8+%E3%82%A6%E3%83%AB%E3%83%AF%E3%82%B7+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-5-12,"優雅で気品のあふれる女性と 特別な夜を。【ラウンジ ウルワシ】
ウルワシはカラオケとクラブスペースを併設しているラウンジです。
他店では、クラブフロアにカラオケを設置してある場合が多いですが
ウルワシでは専用のカラオケスペースをご用意しています。
静かに会話を楽しみたいお客様は、クラブスペースを仲間でワイワイ楽しみたいお客様は、カラオケスペースをご利用ください。カラオケスペースのご予約も可能です。
和のテイストを取り入れたきらびやかな店内で、上品な女性が楽しい時間をご一緒させて頂きます。"
沖縄スナック SUNSET 銀座8丁目店,サンセット,銀座,沖縄スナック,20:00～LAST,日曜,"60分 5,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6255-8666,東京都中央区銀座8-7-7  Jビル 3F,https://www.caba2.net/s/11195,https://www.google.com/maps/search/?api=1&query=%E6%B2%96%E7%B8%84%E3%82%B9%E3%83%8A%E3%83%83%E3%82%AF+SUNSET+%E9%8A%80%E5%BA%A78%E4%B8%81%E7%9B%AE%E5%BA%97+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-7-7,"『沖縄スナック SUNSET（サンセット）』☆
銀座にありながら沖縄の南国感を満喫できるアットホームスナック☆銀座の高級感もいいけれども、ちょっと落ち着いた癒しが欲しくなる。そんな時は当店の沖縄のような心地よい温もりでゆったりとしたお時間をお過ごしくださいませ♪"
クラブ 水上,ミズカミ,銀座,クラブ,20:00～1:00,土曜・日曜・祝祭日,"90分 45,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6228-5678,東京都中央区銀座8-6−21  ウォータータワービル 5F,https://www.caba2.net/s/11187,https://www.google.com/maps/search/?api=1&query=%E3%82%AF%E3%83%A9%E3%83%96+%E6%B0%B4%E4%B8%8A+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A78-6%E2%88%9221,"銀座の中心に佇む贅沢な空間『水上（ミズカミ）』
銀座ウォータービルのワンフロアを広々と使った完全会員制の高級クラブとなり、ご紹介の無いお客様のご来店はお断りさせて頂いております。"
Royal Lounge Kuroneko,クロネコ,銀座,ラウンジ,20:00～1:00,土曜・日曜・祝祭日,"60分 10,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6263-9385,東京都中央区銀座7-8-1  銀座梅林ビル 11F・12F,https://www.caba2.net/s/11245,https://www.google.com/maps/search/?api=1&query=Royal+Lounge+Kuroneko+%E9%8A%80%E5%BA%A7+%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%8A%80%E5%BA%A77-8-1,"札幌すすきのを代表する大手グループの銀座店【Royal Lounge Kuroneko - クロネコ - 】
札幌すすきので展開する大手グループが経営する東京1号店！落ち着きあるモダンな雰囲気がありながらも上質な豪華さも兼ね備えたラグジュアリー空間はお客様に特別な時間をご提供できるものとなっております。"
