店舗名,エリア,最寄駅,ジャンル,食べログURL,住所,Google Maps,評価点数
IL LUPINO PRIME TOKYO,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13272082/,東京都港区北青山3-4-3 ののあおやま 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-4-3%20%E3%81%AE%E3%81%AE%E3%81%82%E3%81%8A%E3%82%84%E3%81%BE%202F,3.48
近江うし 焼肉 にくTATSU 青山本店,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13221781/,東京都港区北青山2-11-15 町田ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B12-11-15%20%E7%94%BA%E7%94%B0%E3%83%93%E3%83%AB%201F,3.45
ゆいま～る食堂 原宿店,原宿・表参道・青山,原宿駅,東京,https://tabelog.com/tokyo/A1306/A130601/13200328/,東京都渋谷区神宮前1-22-7 WESTビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-22-7%20WEST%E3%83%93%E3%83%AB%20B1F,3.14
龍府,原宿・表参道・青山,外苑前駅,東京,https://tabelog.com/tokyo/A1306/A130603/13014274/,東京都港区南青山2-12-16 石塚商事ビル　Ｂ１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B12-12-16%20%E7%9F%B3%E5%A1%9A%E5%95%86%E4%BA%8B%E3%83%93%E3%83%AB%E3%80%80%EF%BC%A2%EF%BC%91%EF%BC%A6,3.34
薬膳レストラン 10ZEN 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13254361/,東京都港区南青山5-10-19,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B15-10-19,3.47
ディップマハル 青山店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13153214/,東京都港区北青山3-5-9 レイカーズ青山 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-5-9%20%E3%83%AC%E3%82%A4%E3%82%AB%E3%83%BC%E3%82%BA%E9%9D%92%E5%B1%B1%201F,3.34
& Yogurt,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13299163/,東京都港区北青山3-10-14 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-10-14%202F,3.17
BUTTER MILK CHANNEL 原宿,原宿・表参道・青山,明治神宮前駅,東京,https://tabelog.com/tokyo/A1306/A130601/13225692/,東京都渋谷区神宮前1-11-11,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-11-11,3.48
O'denbar うまみ 表参道店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13264343/,東京都港区北青山3-6-26 第5SIビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-6-26%20%E7%AC%AC5SI%E3%83%93%E3%83%AB%20B1F,3.39
青山ブションアミュゼ,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13200945/,東京都港区南青山5-9-8 五番館ビル2階,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8D%97%E9%9D%92%E5%B1%B15-9-8%20%E4%BA%94%E7%95%AA%E9%A4%A8%E3%83%93%E3%83%AB2%E9%9A%8E,3.38
RED PEPPER 表参道店,原宿・表参道・青山,表参道駅,東京,https://tabelog.com/tokyo/A1306/A130602/13007408/,東京都港区北青山3-5-25 清水ビル　１Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA%E5%8C%97%E9%9D%92%E5%B1%B13-5-25%20%E6%B8%85%E6%B0%B4%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6,3.49
