name,official_website,gmap_url,website,kana,area,type,business_hours,holiday,budget,phone,description,address
ギラギラガールズ,http://giragiragirls.com/,,https://www.caba2.net/s/21,,歌舞伎町,ガールズバー,18:30～LAST,年中無休,"60分 4,000円
                                    
                                                                                    (税込) (税込)",03-3200-5566,"誰もが認める歌舞伎町の超有名店☆ギラギラガールズ☆
当店では客引き、キャッチ行為はしておりません!!
おいしいお酒と美女、ド派手な演出・・・五感をフルに刺激するイベントもございます☆今までに無い新しい空間で夢の時間をお過ごし下さい★",東京都新宿区歌舞伎町1-7-7  新宿ロボットビル B1F
NOW（朝）,https://nightstyle.jp/shop/now/,,https://www.caba2.net/s/90,ナウ,歌舞伎町,朝・昼キャバクラ,9:00～16:00,月曜,"60分 6,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6457-6156,"フリー指名制で楽しめる話題の歌舞伎町朝キャバ『NOW-morning-』☆
ハイレベルな女の子たちとのお時間をリーズナブルなお値段でご提供☆気軽にお楽しみいただけるをコンセプトに業界のしがらみにとらわれないフリー指名制度を採用☆日毎に違うお気に入りの女の子をご指名も大歓迎！皆様のご来店お待ちしております☆",東京都新宿区歌舞伎町2-10-6  ピア新宿ビル B1F
cafe＆Bar A holic,https://night-kyaba.com/kw?q=004847,,https://www.caba2.net/s/6618,エーホリック,歌舞伎町,ガールズスナック,20:00～LAST,日曜,"60分 2,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6273-9919,"刺激的☆アメリカンビーチコンセプト！『cafe＆Bar A holic』★
アメリカンリゾートを思わせる常夏ビーチをコンセプトに、魅力的な女の子達によるおもてなしをリーズナブルにお楽しみ頂けます★バリエーションに富んだ女の子たち取り揃えております♡ぜひお試しくださいませ〜♪",東京都新宿区歌舞伎町1-10-5  えびす会館 1階A号室
nomnom,https://nom-nom.jp/,,https://www.caba2.net/s/6919,ノムノム,歌舞伎町,ガールズバー,17:00～LAST,年中無休,"60分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",070-1391-4932,"15年目突入！歌舞伎町の老舗ガールズバー！新宿駅東口より徒歩5分！
15年目突入！歌舞伎町の老舗ガールズバー！新宿駅東口より徒歩5分！女の子も多数在籍！新規様なら60分3,000円（税サ込）で飲み放題！
歌舞伎町のガールズバーnomnomは新宿駅東口より徒歩5分！リーズナブルな料金で最高な歌舞伎町の夜を楽しめます！
土日祝日営業・17:00~の営業なので毎日早い時間から利用することもできます。
広いので団体のお客様でも大歓迎です！もちろん1人で来店しても十分楽しめます！

ノムノムには盛り上げ上手な女の子、聞き上手な女の子、愛嬌抜群の女の子など可愛くて個性的な子が多数在籍！カワイイいまどきの女の子とお喋りしたいなら断然ノムノムがオススメ！

女の子の衣装は私服です！カラオケも完備しているので、着飾ってないありのままの女の子と楽しく盛り上がれます！
ポケパラのクーポンを使えば1セット60分がコミコミ3,000円&カラオケが無料です！是非ご利用ください！",東京都新宿区歌舞伎町1丁目11-11  木村ビル2F
Prevail,https://prevail1225.com/,,https://www.caba2.net/s/10896,プリヴェイル,歌舞伎町,クラブ,20:00～LAST,土曜・日曜・祝祭日,"60分 21,000円
                                    
                                                                                    (税・サ別) (税・サ別)",090-4126-7310,"長年歌舞伎町で愛され続ける名店【Prevail-プリヴェイル】
白を基調とした清潔感と解放感に満ちたフロア！
日々を目まぐるしく過ごす大人が羽を休めるにはぴったりです♪",東京都新宿区歌舞伎町1-3-11  梅村ビル7階
PRIMO,https://x.com/primo_cafe_,,https://www.caba2.net/s/5984,プリモ,歌舞伎町,コンカフェ＆バー,22:00～LAST,年中無休,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6273-9230,"歌舞伎町の「コンカフェ・プリモ」高級感があって可愛すぎるお城がコンセプトのお店！
高級感があって可愛すぎるお店！！数々のアイドルグループを担当している有名デザイナーが手掛ける衣装でお客様をご給仕致します♡
現役アイドル、元アイドル多数在籍してます！！",東京都新宿区歌舞伎町1-9-10  Ksビル3F
サキュ×バニートウキョウ,https://sp.pokepara.jp/tokyo/m4/a10000/shop5429/,,https://www.caba2.net/s/11157,,歌舞伎町,コンカフェ,17:00～LAST,不定休,"30分 1,000円〜 
                                    
                                                                                    (税・サ別) (税・サ別)",03-6278-9968,"セクシー&キュートなバニーちゃんと飲めるガールズバー★【（サキュ×バニートウキョウ】
路面店で入りやすく、お値段もリーズナブル♪カラオケ歌い放題&お酒飲み放題!!なんとお店のカウンター内が鏡張り!?新たな癒しスポット候補にぜひご検討ください♪お1人様はもちろん、女性のお客様や団体様まであらゆるニーズにお応えします!!☆皆様のご来店を心よりお待ちしております♪",東京都新宿区歌舞伎町1-23-12  第10NKビル 1FA
Vianca,https://instagram.com/vianca.2019/#,,https://www.caba2.net/s/6868,ヴィアンカ,歌舞伎町,ガールズバー,19:00～5:00,火曜,"30分 400円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6273-8794,"女の子ととにかく楽しく話したいなら【vianca-ヴィアンカ-】で決まり！
歌舞伎町で人気のガールズバー！
リーズナブルな料金なので長く楽しく女の子と話せちゃう♪
朝までたっぷり営業の【vianca-ヴィアンカ-】は女の子達とお客様のご来店をお待ちしております！",東京都新宿区歌舞伎町2-9-18  ライオンズプラザ新宿B1F
GirlsBar Vivi,https://x.com/girlsbarvivi,,https://www.caba2.net/s/231,ヴィヴィ,歌舞伎町,ガールズバー,19:00～LAST,月曜・祝祭日,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6205-6983,"芸能事務所所属の女の子と飲めるかも！？ここが噂のガールズバー【Vivi-ヴィヴィ】
芸能人の卵からキュートな現役女子大生まで幅広いニーズにお応えできる可愛いキャストがお出迎え♪お値段もとってもリーズナブルで朝まで多くの女の子たちがお客様のご来店をお待ちしております☆",東京都新宿区歌舞伎町2-38-2  第二メトロビル 2F
Tonight3,https://twitter.com/Bar_Tonight3,,https://www.caba2.net/s/235,トゥナイトスリー,歌舞伎町,ガールズバー,20:00～LAST,年中無休,"60分 3,500円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6228-0059,"超アットホームでいつ行っても楽しめる人気のガールズバー『トゥナイト３』
白と赤を基調とした可愛いガールズバーです！お酒の種類も豊富に取り揃えており、各種ボトルもリーズナブルにご提供しておりますのでワイワイいきたいときは迷わず『トゥナイト３』へレッツらゴー☆",東京都新宿区歌舞伎町1-2-7  ダイカンプラザ星座館ビル 5F
Miu,https://www.instagram.com/miu.kabuki/,,https://www.caba2.net/s/11105,ミウ,歌舞伎町,ガールズバー,20:00～9:00,年中無休,"60分 4,000円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6709-6044,"大人可愛いキャストが夜を爽やかに彩る【Miu - ミウ】
オリジナルの衣装は有名デザイナーが監修♪
爽やかな海のような雰囲気の店内で大人の夜を楽しみましょう。",東京都新宿区歌舞伎町1-7-1  J2ビルディング2階
悪魔狂-Akumania-,https://nightstyle.jp/shop/akumania/,,https://www.caba2.net/s/11508,アクマニア,歌舞伎町,ガールズバー,21:00～LAST,月曜,"60分 3,000円
                                    
                                                                                    (税・サ別) (税・サ別)",080-4591-6845,"歌舞伎町に舞い降りた悪魔たち！？可愛い悪魔と飲める【悪魔狂 - アクマニア - 】
歌舞伎町に舞い降りた悪魔たちが人間たちとお酒を楽しむ！
可愛い子が沢山在籍しているからついつい通いたくなること間違いなし♪
さらに料金設定でリーズナブルなのも特徴です♪",東京都新宿区歌舞伎町1-2-14  コリンズ15ビルB2
まじかるらんくあっぷ,https://www.pokepara.jp/tokyo/m4/a10000/shop16854/,,https://www.caba2.net/s/11302,マジカルランクアップ,新宿三丁目,コンカフェ＆バー,17:00～1:00,年中無休,"60分 3,500円
                                    
                                                                                    (税・サ別) (税・サ別)",03-6273-0015,"お客様は勇者様！女の子は魔法使い＆僧侶の新感覚コンカフェ『まじかるらんくあっぷ』☆彡
お客様は勇者様！女の子は魔法使い＆僧侶の新感覚コンカフェ『まじかるらんくあっぷ』です♪！パーティー組んでレベルアップ！
来る度にレベルが上がるレベリング要素のある新感覚コンカフェを是非、体感してみてください☆",東京都新宿区新宿3-17-13  KEIビルB1
FOURTY FIVE,https://fourty-five.com/,,https://www.caba2.net/s/31,フォーティーファイブ,歌舞伎町,キャバクラ,20:00～LAST,年中無休,"60分 8,800円〜 
                                    
                                                                                    (税込) (税込)",03-5155-5245,"メディアでも多数特集され知名度も抜群の有名キャバ嬢を率いる【FOURTY FIVE-フォーティーファイブ】
豪華な内装でグランドピアノとで極上のキャスト陣と最高の夜を演出させてくれます。
全てが最高クラスのキャバクラ！これまでにない新しいスタイルで最高クラスのおもてなしと安らぐひとときを提供いたします。",東京都新宿区歌舞伎町1-9-6  三経32ビル 2F
FABRIC LOUNGE SHINJUKU,https://fabriclounge.jp/,,https://www.caba2.net/s/4974,ファブリック ラウンジ シンジュク,歌舞伎町,キャバクラ,20:00～LAST,日曜・祝祭日,"60分 8,800円〜 
                                    
                                                                                    (税込) (税込)",03-3202-1515,"歌舞伎町に君臨するトップクラスのラウンジ【FABRIC LOUNGE SHINJUKU-ファブリックラウンジシンジュク】
内装費用3億円以上、デザイナーが手掛ける圧倒的豪華な内装デザイン。
215坪は歌舞伎町屈指の広さを誇ります。
さらにはメインフロアの天井高が10メートルと抜け感が抜群。
ここが歌舞伎町であるということを忘れされます。",東京都新宿区歌舞伎町2-10-8  ゆきざきビル 6階B室・7階
